,Unnamed: 0,Attributes,High,Low,Open,Close,Volume,Adj Close,Daily Growth,LabledY1,LabledY2,title_score1,abs_score1
0,2,2016-09-26,2158.5400390625,2145.0400390625,2158.5400390625,2146.10009765625,3216170000,2146.10009765625,-0.00576312747557508,-1,-1,0.9508,0.999
1,3,2016-09-27,2161.1298828125,2141.550048828125,2146.0400390625,2159.929931640625,3437770000,2159.929931640625,0.006472336175140896,1,1,0.9881,0.9976
2,4,2016-09-28,2172.39990234375,2151.7900390625,2161.85009765625,2171.3701171875,3891460000,2171.3701171875,0.004403644610498685,0,1,-0.9888,0.9942
3,5,2016-09-29,2172.669921875,2145.199951171875,2168.89990234375,2151.1298828125,4249220000,2151.1298828125,-0.008193102647128811,-1,-1,0.9911,0.9987
4,6,2016-09-30,2175.300048828125,2156.510009765625,2156.510009765625,2168.27001953125,4173340000,2168.27001953125,0.00545325999525646,0,1,-0.8984,0.9958
5,7,2016-10-03,2164.409912109375,2154.77001953125,2164.330078125,2161.199951171875,3137550000,2161.199951171875,-0.0014462336335669687,0,0,-0.9835,0.9949
6,8,2016-10-04,2165.4599609375,2144.010009765625,2163.3701171875,2150.489990234375,3750890000,2150.489990234375,-0.005953732489320815,-1,-1,0.9782,-0.6473
7,9,2016-10-05,2163.949951171875,2155.14990234375,2155.14990234375,2159.72998046875,3906550000,2159.72998046875,0.002125178448153009,0,0,-0.7556,0.9986
8,10,2016-10-06,2162.929931640625,2150.280029296875,2158.219970703125,2160.77001953125,3461550000,2160.77001953125,0.0011815518634526493,0,0,-0.9891,0.9768
9,11,2016-10-07,2165.860107421875,2144.85009765625,2164.18994140625,2153.739990234375,3619890000,2153.739990234375,-0.004828573949052189,0,-1,0.8677,0.9935
10,12,2016-10-10,2169.60009765625,2160.389892578125,2160.389892578125,2163.659912109375,2916550000,2163.659912109375,0.0015136247130594035,0,0,-0.9567,0.9832
11,13,2016-10-11,2161.56005859375,2128.840087890625,2161.35009765625,2136.72998046875,3438270000,2136.72998046875,-0.011391082460078007,-1,-1,-0.8435,0.9991
12,14,2016-10-12,2145.360107421875,2132.77001953125,2137.669921875,2139.179931640625,2977100000,2139.179931640625,0.0007063811630471628,0,0,-0.9323,-0.9986
13,15,2016-10-13,2138.18994140625,2114.719970703125,2130.260009765625,2132.550048828125,3580450000,2132.550048828125,0.0010750044839606008,0,0,-0.9896,-0.9832
14,16,2016-10-14,2149.18994140625,2132.97998046875,2139.679931640625,2132.97998046875,3228150000,2132.97998046875,-0.0031312866344162665,0,-1,0.9488,0.9366
15,17,2016-10-17,2135.610107421875,2124.429931640625,2132.949951171875,2126.5,2830390000,2126.5,-0.0030239580484911514,0,-1,-0.9461,0.9984
16,18,2016-10-18,2144.3798828125,2135.489990234375,2138.31005859375,2139.60009765625,3170000000,2139.60009765625,0.0006032984119002783,0,0,-0.6646,0.9996
17,19,2016-10-19,2148.43994140625,2138.14990234375,2140.81005859375,2144.2900390625,3362670000,2144.2900390625,0.0016255437771232825,0,0,0.9593,0.9993
18,20,2016-10-20,2147.179931640625,2133.43994140625,2142.510009765625,2141.340087890625,3337170000,2141.340087890625,-0.000546051999602084,0,0,-0.5286,0.7945
19,21,2016-10-21,2142.6298828125,2130.090087890625,2139.429931640625,2141.159912109375,3448850000,2141.159912109375,0.0008086174934569425,0,0,0.9911,0.9994
20,22,2016-10-24,2154.7900390625,2146.909912109375,2148.5,2151.330078125,3357320000,2151.330078125,0.0013172344077263206,0,0,-0.7673,0.9978
21,23,2016-10-25,2151.43994140625,2141.929931640625,2149.719970703125,2143.159912109375,3751340000,2143.159912109375,-0.0030515875012336385,0,-1,0.8152,0.9993
22,24,2016-10-26,2145.72998046875,2131.590087890625,2136.969970703125,2139.429931640625,3775200000,2139.429931640625,0.0011511443638539296,0,0,0.9949,0.9991
